"Make";"Model";"Price";"HP";"Capacity";"Mileage";"Fuel";"Production"
"Peugeot";"206";14900;70;1400;90000;"diesel";2007
"Peugeot";"206";11400;60;1124;119000;"gasoline";2003
"Peugeot";"206";18800;75;1360;57430;"gasoline";2008
"Peugeot";"206";15039.69;75;1360;23500;"gasoline";2006
"Peugeot";"206";10900;60;1124;121000;"gasoline";2003
"Peugeot";"206";12900;70;1400;120000;"diesel";2007
"Peugeot";"206";17900;90;2000;115000;"diesel";2004
"Peugeot";"206";16938.9;75;1398;78000;"gasoline";2004
"Peugeot";"206";18649.9;109;1587;71500;"gasoline";2003
"Peugeot";"206";22225.89;68;1398;130000;"diesel";2006
"Peugeot";"206";15056.8;68;1398;140500;"diesel";2003
"Peugeot";"206";15912.3;60;1124;132740;"gasoline";2004
"Peugeot";"206";18649.9;68;1398;84148;"diesel";2007
"Peugeot";"206";10600;70;1398;153400;"diesel";2003
"Peugeot";"206";11900;75;1360;108000;"gasoline";2004
"Peugeot";"206";18136.4289;60;1124;54000;"gasoline";2005
"Peugeot";"206";20360.9;109;1586;77000;"gasoline";2003
"Peugeot";"206";10608.2;90;1997;150000;"diesel";2003
"Peugeot";"206";14543.5;88;1360;73964;"gasoline";2004
"Peugeot";"206";16254.5;75;1360;88000;"gasoline";2003
"Peugeot";"206";17965.5;88;1360;80348;"gasoline";2004
"Peugeot";"206";14900;70;1398;88000;"diesel";2005
"Peugeot";"206";11900;75;1360;87508;"gasoline";2003
"Peugeot";"206";8500;60;1124;117000;"gasoline+LPG";2004
"Peugeot";"206";13600;75;1360;78000;"gasoline";2004
"Peugeot";"206";12900;70;1398;91000;"diesel";2006
"Peugeot";"206";15227.9;68;1399;128000;"diesel";2004
"Peugeot";"206";17794.4;109;1587;113000;"gasoline";2003
"Peugeot";"206";8469.45;60;1124;77800;"gasoline";2005
"Peugeot";"206";8950;110;1587;170000;"gasoline";2004
"Peugeot";"206";10500;68;1400;130000;"diesel";2006
"Peugeot";"206";12900;75;1360;90000;"gasoline";2003
"Peugeot";"206";9400;75;1360;103256;"gasoline";2004
"Peugeot";"206";13400;90;2000;168000;"diesel";2003
"Peugeot";"206";18478.8;75;1360;45455;"gasoline";2007
"Peugeot";"206";13516.9;75;1360;77493;"gasoline";2003
"Peugeot";"206";13516.9;75;1360;93420;"gasoline";2004
"Peugeot";"206";15200;70;1398;98000;"diesel";2005
"Peugeot";"206";13400;75;1360;105000;"gasoline";2003
"Peugeot";"206";12990;75;1398;50000;"gasoline";2003
"Peugeot";"206";16938.9;109;1560;147000;"diesel";2005
"Peugeot";"206";17623.3;75;1360;88000;"gasoline";2006
"Peugeot";"206";18649.9;68;1398;107000;"diesel";2007
"Peugeot";"206";10900;60;1100;79000;"gasoline";2004
"Peugeot";"206";18649.9;90;1997;126300;"diesel";2004
"Peugeot";"206";8553.289;60;1124;121620;"gasoline";2004
"Peugeot";"206";13516.7289;60;1124;95900;"gasoline";2004
"Peugeot";"206";16938.9;90;1997;129000;"diesel";2003
"Peugeot";"206";11000;68;1400;112000;"diesel";2005
"Peugeot";"206";15900;70;1398;104652;"diesel";2007
"Peugeot";"206";21500;110;1560;161000;"diesel";2006
"Peugeot";"206";14543.5;68;1398;156000;"diesel";2003
"Peugeot";"206";18819.289;68;1398;58000;"diesel";2004
"Peugeot";"206";24638.4;109;1560;127301;"diesel";2006
"Peugeot";"206";16938.9;68;1400;128000;"diesel";2006
"Peugeot";"206";16750.5189;75;1389;71000;"gasoline";2005
"Peugeot";"206";6330.7;90;1997;90000;"diesel";2004
"Peugeot";"206";23098.5;75;1360;89563;"gasoline";2007
"Peugeot";"206";13500;110;1560;150000;"diesel";2005
"Peugeot";"206";15800;70;1400;181000;"diesel";2003
"Peugeot";"206";21900;70;1378;99000;"diesel";2008
"Peugeot";"206";9500;70;1398;139500;"diesel";2004
"Peugeot";"206";11900;75;1360;151000;"gasoline";2003
"Peugeot";"206";12500;75;1360;186000;"gasoline";2003
"Peugeot";"206";13900;70;1398;89000;"diesel";2007
"Peugeot";"206";11959.89;60;1124;37390;"gasoline";2003
"Peugeot";"206";15227.9;90;1997;140800;"diesel";2004
"Peugeot";"206";14543.5;75;1360;151200;"gasoline";2004
"Peugeot";"206";14900;72;1389;98500;"diesel";2005
"Peugeot";"206";8700;70;1398;177000;"diesel";2003
"Peugeot";"206";10500;68;1400;196000;"diesel";2005
"Peugeot";"206";14990;70;1398;68700;"diesel";2005
"Peugeot";"206";8540.7987;68;1398;218000;"diesel";2006
"Peugeot";"206";15381.89;75;1360;91701;"gasoline";2003
"Peugeot";"206";17965.5;60;1124;35000;"gasoline";2005
"Peugeot";"206";11977;75;1360;98300;"gasoline";2003
"Peugeot";"206";13950;90;1997;147000;"diesel";2003
"Peugeot";"206";12900;68;1400;147000;"diesel";2005
"Peugeot";"206";9500;70;1398;98000;"diesel";2006
"Peugeot";"206";21900.8;68;1398;98000;"diesel";2006
"Peugeot";"206";13516.9;75;1360;101000;"gasoline";2004
"Peugeot";"206";11959.89;75;1360;156000;"gasoline";2005
"Peugeot";"206";26000;70;1398;56000;"diesel";2007
"Peugeot";"206";8900;60;1100;86000;"gasoline";2003
"Peugeot";"206";8900;60;1124;76500;"gasoline";2003
"Peugeot";"206";10900;90;1997;178000;"diesel";2003
"Peugeot";"206";7900;88;1360;114000;"gasoline";2004
"Peugeot";"206";15900;75;1360;42605;"gasoline";2005
"Peugeot";"206";13516.9;75;1360;102000;"gasoline";2003
"Peugeot";"206";16083.4;60;1124;44000;"gasoline";2004
"Peugeot";"206";11800;60;1100;102000;"gasoline";2004
"Peugeot";"206";18900;75;1400;50900;"gasoline";2008
"Peugeot";"206";15227.9;68;1398;156000;"diesel";2004
"Peugeot";"307";27990;90;1560;117574;"diesel";2007
"Peugeot";"307";26300;136;1997;142000;"diesel";2007
"Peugeot";"307";12500;110;1587;135309;"gasoline";2003
"Peugeot";"307";24800;110;1560;113900;"diesel";2005
"Peugeot";"307";24900;110;1560;135000;"diesel";2007
"Peugeot";"307";23440.7;109;1997;131275;"diesel";2004
"Peugeot";"307";13900;70;1398;144000;"diesel";2003
"Peugeot";"307";10900;70;1398;145000;"diesel";2003
"Peugeot";"307";14900;70;1398;147000;"diesel";2003
"Peugeot";"307";25900;110;1560;124000;"diesel";2007
"Peugeot";"307";25900;110;1600;83000;"gasoline";2006
"Peugeot";"307";15900;110;1600;130000;"gasoline";2003
"Peugeot";"307";20360.9;107;1997;142253;"diesel";2003
"Peugeot";"307";23900;110;1587;150000;"diesel";2007
"Peugeot";"307";18900;90;2000;89000;"diesel";2005
"Peugeot";"307";31217.004;136;1997;176000;"diesel";2006
"Peugeot";"307";22225.89;136;1997;178600;"diesel";2004
"Peugeot";"307";19900;90;1600;176200;"diesel";2005
"Peugeot";"307";25700;90;1600;110000;"diesel";2005
"Peugeot";"307";18950;90;1997;130000;"diesel";2005
"Peugeot";"307";22900;110;1600;172000;"diesel";2007
"Peugeot";"307";16999;70;1398;204000;"diesel";2004
"Peugeot";"307";27700;90;1600;78000;"diesel";2006
"Peugeot";"307";18500;110;1587;220000;"gasoline";2006
